CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
;;2025;1;17126.16
;;2025;1;1590.3
;;2025;1;463737.86
;;2025;1;149374.74
;;2025;1;0.0
;;2025;1;0.0
;;2025;1;226068.38
;;2025;1;128702.38
;;2025;1;1783.04
;;2025;1;5179536.3
;;2025;1;71876.16
;;2025;1;6018823.91
;;2025;1;397414.26
;;2025;1;2472541.92
;;2025;1;154980.24
;;2025;1;71951771.98
;;2025;1;889565.47
;;2025;1;102094.15
;;2025;1;0.0
;;2025;1;26540493.4
;;2025;1;139098.54
;;2025;1;1289387.13
;;2025;1;7534.31
;;2025;1;2460130.76
